TimeStart,TF,Open,High,Low,Close,Volume
2025-05-17 07:40:00,Min5,103263,103852,103103,103527,0.0034
2025-05-17 07:45:00,Min5,103468,103899,103017,103017,0.0086
2025-05-17 07:50:00,Min5,103301,103882,102960,103684,0.0015
2025-05-17 07:55:00,Min5,103813,103967,102962,102962,0.0052
2025-05-17 08:00:00,Min5,103846,103878,102985,102997,0.0045
2025-05-17 08:05:00,Min5,103629,103677,102919,103035,0.0072
2025-05-17 08:10:00,Min5,103476,103864,102837,103864,0.0138
2025-05-17 08:15:00,Min5,103776,103783,103310,103638,0.0030
2025-05-17 08:20:00,Min5,103054,103573,102761,103482,0.0066
2025-05-17 08:25:00,Min5,102893,103941,102893,103146,0.0111
2025-05-17 08:30:00,Min5,103967,104044,103015,103105,0.0032
2025-05-17 08:35:00,Min5,103159,104011,103105,103648,0.0098
2025-05-17 08:40:00,Min5,103153,103986,103138,103860,0.0101
2025-05-17 08:45:00,Min5,103608,103902,102940,103664,0.0097
2025-05-17 08:50:00,Min5,103414,103979,103071,103567,0.0087
2025-05-17 08:55:00,Min5,103316,103935,103036,103516,0.0070
2025-05-17 09:00:00,Min5,103916,103916,102958,103531,0.0090
2025-05-17 09:05:00,Min5,103015,103828,102899,102956,0.0073
2025-05-17 09:10:00,Min5,103514,103695,102893,103265,0.0023
2025-05-17 09:15:00,Min5,103127,103420,102902,103137,0.0046
2025-05-17 09:20:00,Min5,103540,103540,102519,102519,0.0040
2025-05-17 09:25:00,Min5,103403,103403,102500,102501,0.0032
2025-05-17 09:30:00,Min5,102936,103444,102537,103365,0.0064
2025-05-17 09:35:00,Min5,103308,103475,102492,103231,0.0069
2025-05-17 09:40:00,Min5,102741,103409,102488,102562,0.0070
2025-05-17 09:45:00,Min5,103350,103350,102459,102531,0.0072
2025-05-17 09:50:00,Min5,102362,103291,102313,102471,0.0102
2025-05-17 09:55:00,Min5,103034,103330,102435,102495,0.0022
2025-05-17 10:00:00,Min5,102539,103250,102370,103034,0.0061
2025-05-17 10:05:00,Min5,102983,103451,102434,102519,0.0057
2025-05-17 10:10:00,Min5,103397,103531,102504,103531,0.0051
2025-05-17 10:15:00,Min5,102970,103508,102473,103114,0.0093
2025-05-17 10:20:00,Min5,102604,103411,102524,102675,0.0056
2025-05-17 10:25:00,Min5,103100,103487,102609,102753,0.0062
2025-05-17 10:30:00,Min5,103100,103435,102538,103435,0.0083
2025-05-17 10:35:00,Min5,103414,103414,102473,102823,0.0102
2025-05-17 10:40:00,Min5,102411,103240,102375,102375,0.0029
2025-05-17 10:45:00,Min5,102545,103354,102457,102806,0.0068
2025-05-17 10:50:00,Min5,103193,103363,102401,102810,0.0077
